County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Clay,AR,14847,25.2,4.4,37687,7255,7592,3228,1615,1613,8440,4250,4190,3179,1390,1789,361,129,232,0,0,142,0
Cleburne,AR,24965,46.9,4.5,44902,12277,12688,4737,2423,2314,13541,6757,6784,6687,3097,3590,853,341,512,0,0,4810,254
Cleveland,AR,8018,14.5,3.9,47600,3978,4040,1754,913,841,4581,2283,2298,1683,782,901,173,68,105,0,0,748,0
Columbia,AR,23537,32.1,4.8,40909,11352,12185,4871,2537,2334,14565,7048,7517,4101,1767,2334,570,203,367,6,0,684,60
Conway,AR,20891,38.5,4.4,44565,10260,10631,4712,2370,2342,12084,6004,6080,4095,1886,2209,527,198,329,0,0,620,65
Craighead,AR,108558,136.4,3.1,45615,52730,55828,27090,13976,13114,66438,32381,34057,15030,6373,8657,1845,651,1194,66,1861762192,5544,11
Crawford,AR,63406,104.4,3.6,47363,31258,32148,15501,7886,7615,37358,18598,18760,10547,4774,5773,1084,389,695,8,0,447,0
Crittenden,AR,48342,83.5,4.3,42606,23011,25331,13076,6659,6417,28428,13386,15042,6838,2966,3872,748,237,511,0,1698117098,11223,320
Cross,AR,16676,29,4.2,41214,8044,8632,3906,1975,1931,9640,4686,4954,3130,1383,1747,367,132,235,0,0,1369,0
Dallas,AR,7182,12.2,4.4,37259,3549,3633,1535,820,715,3982,2013,1969,1665,716,949,246,75,171,0,0,58,0
Desha,AR,11512,16.9,4.5,36132,5437,6075,2950,1498,1452,6374,2984,3390,2188,955,1233,246,72,174,0,0,818,0
Drew,AR,18328,22.3,5,42494,8955,9373,3939,2075,1864,11182,5506,5676,3207,1374,1833,406,138,268,5,0,808,52
Faulkner,AR,124806,174.8,3.3,53882,60992,63814,28780,14814,13966,80444,39318,41126,15582,6860,8722,1601,550,1051,25,0,4794,128
Franklin,AR,17810,29.8,3.6,43696,8908,8902,4074,2125,1949,10293,5227,5066,3443,1556,1887,438,148,290,0,0,111,0
Fulton,AR,12269,19.8,4,35630,6021,6248,2521,1316,1205,6527,3173,3354,3221,1532,1689,377,155,222,0,0,132,0
Garland,AR,99154,141.7,4,43610,47660,51494,19941,10208,9733,55581,26871,28710,23632,10581,13051,2825,1054,1771,41,1648480176,6726,26
Grant,AR,18188,28.3,3.1,52050,8985,9203,4081,2049,2032,10832,5426,5406,3275,1510,1765,368,134,234,0,0,785,0
Greene,AR,45325,72.9,3.5,46512,22289,23036,11103,5634,5469,26980,13457,13523,7242,3198,4044,763,269,494,8,0,1309,0
Hempstead,AR,21741,31.1,3.6,38682,10482,11259,5609,2863,2746,12227,5886,6341,3905,1733,2172,487,166,321,8,887333187,429,53
Hot Spring,AR,33701,53.5,3.8,47205,17643,16058,6914,3709,3205,20418,11031,9387,6369,2903,3466,685,276,409,6,785107608,1104,0
Howard,AR,13341,23.4,3.5,40199,6417,6924,3472,1807,1665,7475,3561,3914,2394,1049,1345,297,107,190,0,0,771,1
Independence,AR,37678,48,4.1,45596,18371,19307,9122,4585,4537,21953,10885,11068,6603,2901,3702,819,282,537,12,0,889,0
Izard,AR,13593,23.6,5.5,37828,7050,6543,2447,1250,1197,7640,4121,3519,3506,1679,1827,445,174,271,0,0,453,0
Jackson,AR,16811,28.4,6.2,36573,8348,8463,3381,1716,1665,10379,5293,5086,3051,1339,1712,337,118,219,0,0,51,0
Jefferson,AR,68114,88.9,5.3,38596,33662,34452,15053,7790,7263,41284,20752,20532,11777,5120,6657,1347,406,941,34,0,15022,783
Johnson,AR,26742,38.7,4.5,39381,13264,13478,6617,3318,3299,15725,7911,7814,4400,2035,2365,515,189,326,8,0,1658,0
Lafayette,AR,6682,14.5,5.2,35527,3283,3399,1230,658,572,3846,1882,1964,1606,743,863,200,85,115,0,0,385,36
Lawrence,AR,16434,29.6,3.9,40308,8112,8322,3614,1911,1703,9578,4766,4812,3242,1435,1807,419,142,277,0,688904415,2930,161
Lee,AR,8985,17.3,4.8,28080,5049,3936,1639,809,830,5582,3464,2118,1764,776,988,251,103,148,0,0,390,48
Lincoln,AR,13383,25.2,4.3,44951,8273,5110,2250,1113,1137,9084,6247,2837,2049,913,1136,249,73,176,0,0,36764,215
Little River,AR,12326,24.7,5.3,43559,5936,6390,2742,1437,1305,6995,3353,3642,2589,1146,1443,252,91,161,0,0,48,0
Logan,AR,21737,31.6,4,41471,10852,10885,4711,2474,2237,12711,6378,6333,4315,2000,2315,462,166,296,0,0,174,1
Lonoke,AR,73657,88.7,3.2,56651,36302,37355,19009,9788,9221,44840,22175,22665,9808,4339,5469,954,320,634,0,0,2238,0
Madison,AR,16481,18.8,2.9,42674,8229,8252,3904,2010,1894,9434,4773,4661,3143,1446,1697,307,102,205,0,0,137,0
Marion,AR,16722,27.9,4.1,36581,8209,8513,3116,1526,1590,8838,4365,4473,4768,2318,2450,418,149,269,0,0,53,0
Miller,AR,43592,69.5,4.8,42162,21411,22181,10303,5310,4993,25925,12894,13031,7364,3207,4157,815,259,556,0,2186754514,1943,40
Mississippi,AR,41239,51.6,5.7,36718,20077,21162,10745,5508,5237,24394,11913,12481,6100,2656,3444,663,206,457,5,0,1960,20
Monroe,AR,6900,13.4,4.3,32922,3209,3691,1453,715,738,3846,1805,2041,1601,689,912,201,66,135,0,0,218,0
Montgomery,AR,8924,12.2,4.8,38318,4414,4510,1639,848,791,4874,2417,2457,2411,1149,1262,281,117,164,0,0,38,0
Nevada,AR,8326,14.6,3.5,37626,4126,4200,1882,1012,870,4726,2339,2387,1718,775,943,229,82,147,0,0,140,0
Newton,AR,7805,10.1,3.4,36078,3954,3851,1502,801,701,4234,2151,2083,2069,1002,1067,191,70,121,0,0,147,0
Ouachita,AR,23606,35.6,4.7,37624,11196,12410,5293,2682,2611,13503,6438,7065,4810,2076,2734,654,204,450,8,0,410,0
Perry,AR,10352,18.9,4.2,45342,5113,5239,2314,1164,1150,5947,2986,2961,2091,963,1128,239,85,154,0,0,422,0
Phillips,AR,18029,31.3,6.1,29945,8476,9553,4646,2427,2219,9957,4556,5401,3426,1493,1933,390,122,268,6,0,314,50
Pike,AR,10673,18.8,4.2,41534,5336,5337,2281,1181,1100,6216,3163,3053,2176,992,1184,206,85,121,0,0,196,0
Poinsett,AR,23974,32.4,3.8,37370,11646,12328,5760,2909,2851,13918,6936,6982,4296,1801,2495,413,134,279,0,0,1179,65
Polk,AR,20049,24.1,4.2,39048,9767,10282,4567,2263,2304,10871,5389,5482,4611,2115,2496,480,180,300,6,0,498,0
Pope,AR,64000,76,4.5,45788,31721,32279,14509,7438,7071,39410,19762,19648,10081,4521,5560,1176,412,764,11,0,3314,11
Prairie,AR,8074,13.4,3.9,43245,4063,4011,1613,902,711,4541,2233,2308,1920,928,992,252,101,151,0,0,116,0
Pulaski,AR,392680,503.8,3.5,49957,187731,204949,91009,46495,44514,240596,115223,125373,61075,26013,35062,7397,2357,5040,209,259580885,31919,1107
Randolph,AR,17948,27.6,4,37799,8874,9074,4255,2207,2048,10114,5111,5003,3579,1556,2023,528,182,346,2,0,1013,0
St. Francis,AR,25439,44.5,5.2,33257,14023,11416,5396,2721,2675,15921,9425,6496,4122,1877,2245,468,168,300,6,0,12978,10
Saline,AR,121421,148,3.1,63677,59489,61932,28223,14435,13788,71634,35218,36416,21564,9836,11728,2065,796,1269,16,0,3806,57
Scott,AR,10319,12.6,3.7,35826,5236,5083,2396,1276,1120,5771,2946,2825,2152,1014,1138,221,86,135,0,0,62,0
Searcy,AR,7958,12.3,4.3,31659,3988,3970,1626,842,784,4344,2181,2163,1988,965,1023,242,107,135,0,0,397,0
Sebastian,AR,127753,236.4,3.6,46843,62418,65335,30525,15502,15023,76724,37992,38732,20504,8924,11580,2475,821,1654,69,1781483859,911,0
Sevier,AR,17139,30.2,4.7,44100,8622,8517,4874,2482,2392,9772,4997,4775,2493,1143,1350,283,113,170,0,0,1962,39
Sharp,AR,17366,28.6,4.8,36032,8570,8796,3572,1877,1695,9264,4560,4704,4530,2133,2397,518,204,314,0,0,960,46
Stone,AR,12457,20.4,4.5,34009,6135,6322,2396,1220,1176,6645,3316,3329,3416,1599,1817,397,166,231,0,0,476,0
Union,AR,39126,40.1,5.6,45335,19038,20088,9419,4825,4594,22690,11110,11580,7017,3103,3914,834,285,549,16,0,4128,115
Van Buren,AR,16603,24.4,5.3,40486,8255,8348,3328,1703,1625,8950,4513,4437,4325,2039,2286,554,237,317,0,0,1743,116
Washington,AR,236961,215.6,2.6,50893,118335,118626,57728,29520,28208,151424,76458,74966,27809,12357,15452,3147,1118,2029,61,3103474427,7386,163
White,AR,78727,74.5,4.4,44811,38321,40406,18157,9314,8843,47638,23315,24323,12932,5692,7240,1440,529,911,13,0,2049,42
