County,State,cases,deaths
Fairfax city,VA,65,6
Fairfax,VA,11110,383
Kane,UT,3,0
Millard,UT,6,0
Morgan,UT,11,0
Piute,UT,2,0
Salt Lake,UT,5242,74
San Juan,UT,297,5
Sanpete,UT,12,0
Sevier,UT,8,0
Summit,UT,415,0
Tooele,UT,128,0
Uintah,UT,10,0
Unknown,UT,0,4
Utah,UT,1929,17
Wasatch,UT,282,2
Washington,UT,365,0
Weber,UT,288,7
Addison,VT,64,2
Bennington,VT,63,1
Caledonia,VT,15,0
Juab,UT,10,0
Iron,UT,69,0
Grand,UT,9,0
Garfield,UT,3,0
Wharton,TX,58,0
Wheeler,TX,15,0
Wichita,TX,84,2
Wilbarger,TX,7,0
Willacy,TX,16,1
Williamson,TX,621,24
Wilson,TX,38,5
Winkler,TX,3,0
Wise,TX,46,3
Chittenden,VT,451,39
Wood,TX,29,1
Young,TX,4,1
Zapata,TX,9,0
Zavala,TX,11,0
Box Elder,UT,29,1
Cache,UT,219,1
Carbon,UT,11,0
Davis,UT,465,2
Duchesne,UT,9,0
Emery,UT,7,0
Yoakum,TX,3,0
Wise,VA,25,2
Essex,VT,3,0
Grand Isle,VT,7,0
Buena Vista city,VA,13,0
Campbell,VA,18,1
Caroline,VA,67,2
Carroll,VA,96,1
Charles City,VA,27,1
Charlotte,VA,23,0
Charlottesville city,VA,116,3
Chesapeake city,VA,521,15
Chesterfield,VA,1548,35
Clarke,VA,27,0
Colonial Heights city,VA,95,17
Covington city,VA,4,0
Craig,VA,5,0
Culpeper,VA,691,6
Cumberland,VA,37,0
Danville city,VA,55,2
Dinwiddie,VA,80,0
Emporia city,VA,79,5
Essex,VA,48,0
Buckingham,VA,459,3
Buchanan,VA,18,0
Brunswick,VA,25,1
Bristol city,VA,4,0
Lamoille,VT,29,1
Orange,VT,9,0
Orleans,VT,10,0
Rutland,VT,55,1
Unknown,VT,5,0
Washington,VT,39,1
Windham,VT,81,3
Windsor,VT,51,2
Unknown,Virgin Islands,69,6
Franklin,VT,99,5
Accomack,VA,909,12
Alexandria city,VA,1974,44
Alleghany,VA,20,2
Amelia,VA,25,1
Amherst,VA,27,0
Appomattox,VA,31,0
Arlington,VA,2116,115
Augusta,VA,109,1
Bedford,VA,57,2
Botetourt,VA,32,4
Albemarle,VA,187,8
Webb,TX,546,19
Wythe,VA,23,1
Adams,WA,63,0
Jefferson,WI,106,3
Juneau,WI,23,1
Kenosha,WI,1168,30
Kewaunee,WI,35,1
La Crosse,WI,53,0
Lafayette,WI,27,0
Langlade,WI,3,0
Lincoln,WI,7,0
Manitowoc,WI,36,1
Marathon,WI,50,1
Marinette,WI,33,2
Marquette,WI,4,1
Menominee,WI,3,0
Milwaukee,WI,7750,299
Monroe,WI,17,1
Oconto,WI,37,0
Oneida,WI,9,0
Outagamie,WI,227,8
Ozaukee,WI,174,14
Jackson,WI,17,1
